Catálogo de Livros da Ateliê Editoral,,,,
,,,,
Lista gerada em 29/06/2020 - 22:28:52,,,,
,,,,
,,,,
Titulo,Isbn,Autor,Assunto,Valor
Anima Mundi,85-7480-263-8,Ricardo Pires de Souza,"Literatura brasileira, Poesia","R$79,00"
Animal de Silêncios,85-7480-123-2,Jaime Labastida,"Poesia, Literatura estrangeira, Bilíngue","R$39,00"
"Anos de Exílio do Jovem Mallarmé, Os",978-85-7480-366-1,Joaquim Brasil Fontes,"Crítica literária, Literatura estrangeira","R$42,00"
Antologia da Poesia Erótica Brasileira,978-85-7480-703-4,Eliane Robert Moraes,"Ilustrado, Literatura brasileira, Poesia","R$92,00"
Antologia Fantástica da Literatura Antiga,978-85-7480-740-9,Marcelo Castel Cid,"Cultura grega, Literatura, Literatura clássica","R$76,00"
Antologia Poética,85-7480-067-8,Jorge Wanderley,"Literatura brasileira, Poesia","R$58,00"
Antologia Poética - 1987-2017,978-85-7480-781-2,Marcelo Sandmann,Poesia,"R$39,90"
Ao Vires Isto - Gertrude Stein,978-8574-8081-16,"João Queiroz, Daniella Aguiar, Luci Collin","Teoria literária, Literatura, Crítica literária","R$44,90"
Apoteose de Schoenberg,85-7480-109-7,Flo Menezes,"Música, Crítica musical","R$83,00"
Arabia Brasilica,978-85-7480-751-5,Alberto Sismondini,"Crítica literária, Cultura árabe, Cultura islâmica, Teoria literária","R$45,00"
"Arca de Noésio, A",85-85851-18-X,Gustavo Martins,"Literatura brasileira, Infantil, Ilustrado","R$19,00"
"Arquétipos Literários, Os",85-85851-72-4,Eleazar M. Meletínski,"Teoria literária, Literatura","R$39,50"
"Arquétipos Literários, Os - 3a ed.",978-85-7480-837-6,Eleazar M. Meletínski,"Crítica literária, Teoria literária","R$45,00"
Arquivos Literários,85-7480-155-0,"Eneida Maria de Souza, Wander Melo Miranda","Literatura brasileira, Crítica literária","R$46,00"
"Arte da Automutilação, A",978-85-7480-642-6,Felipe Lion,"Literatura brasileira, Poesia","R$47,00"
"Arte de Argumentar, A - Gerenciando Razão e Emoção",85-85851-81-3,Antônio Suárez Abreu,"Comunicação, Argumentação, Escrita","R$49,00"
"Arte do Zajal, A - Estudo de Poética Árabe",978-85-7480-381-4,Michel Sleiman,"Crítica literária, Poesia, Cultura árabe","R$54,00"
"Arte Invisível ou a Arte do Livro, A",85-7480-177-1,Plinio Martins Filho,"Design, Tipografia, Livros sobre livros, Artes gráficas, Ilustrado","R$42,00"
"Arte, Dor - Inquietudes entre Estética e Psicanálise",978-85-7480-248-0,João A. Frayze-Pereira,"Arte, Psicanálise e Psicologia, Ilustrado","R$98,00"
Artigas e Cascaldi - Arquitetura em Londrina,85-7480-156-9,Juliana Suzuki,"Arquitetura, Ilustrado","R$71,00"
Até a Margem do Grande Rio,978-85-7480-575-7,Edu Campos,"Literatura brasileira, Contos, Fotografia, Ilustrado","R$42,00"
"Ateneu, O",978-85-7480-756-0,"Emília Amaral, Raul Pompeia","Literatura brasileira, Romance, Ilustrado","R$38,00"
Auto da Barca do Inferno,978-85-7480-590-0,"Gil Vicente, Ivan Teixeira","Idade média, Cultura medieval, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado","R$27,50"
"Bailadora Andaluza, A - A Explosão do Sagrado na Poesia de João Cabral",85-85851-20-1,Waldecy Tenório,"Literatura brasileira, Crítica literária","R$43,00"
"Balada do Velho Marinheiro, A",85-7480-273-5,"Alípio Correia de Franca Neto, Samuel Taylor Coleridge","Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$76,00"
BaléRalé,85-7480-174-7,Marcelino Freire,"Literatura brasileira, Contos","R$48,00"
Baldio - poemas (2009-2017),978-85-7480-791-1,Rodrigo Madeira,Poesia,"R$44,90"
Balão Cativo,85-7480-006-6,Pedro Nava,"Memória, Literatura brasileira","R$72,00"
"Banda das Velhas Virgens, A - 18 Anos de Bar em Bar",85-7480-304-9,"Alexandre Cavalo, Ricardo dos Santos Gozzi","Música, Memória, Biografia, Ilustrado","R$39,80"
"Batalha dos Livros, A",978-85-7480-773-7,Lincoln Secco,"Livros sobre livros, Política, História","R$46,00"
Beauty & Fashion,85-7480-161-5,Mário Cafiero,"Arte, Ilustração e pintura, Humor","R$76,00"
Beira-Mar,85-7480-147-X,Pedro Nava,"Memória, Literatura brasileira","R$78,00"
Bibliomania,978-85-7480-722-5,"Lincoln Secco, Marisa Midori Deaecto","Livros sobre livros, Bibliofilia","R$59,00"
Biblioteca,978-85-7480-641-9,Luís Milanesi,"Livros sobre livros, Biblioteconomia","R$33,00"
"Biblioteca Imaginária, A",85-85851-13-9,João Alexandre Barbosa,"Crítica literária, Literatura","R$44,00"
"Bicho Urucutum, O",85-85851-56-2,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$43,00"
Bilhete Seco,978-85-7480-563-4,Elisa Nazarian,"Literatura brasileira, Contos","R$48,00"
Bom Crioulo,978-85-7480-684-6,"Salete de Almeida Cara, Adolfo Caminha","Literatura brasileira, Romance, Ilustrado","R$38,00"
Bovarismo e Romance - Madame Bovary e Lady Oracle,85-7480-032-5,Andrea Saad Hossne,"Crítica literária, Literatura estrangeira","R$53,00"
Branco sobre Branco,978-85-7480-429-3,Guilherme Zarvos,"Cultura, Ilustrado","R$55,00"
Brasil: Paisagens de Exceção - O Litoral e o Pantanal Mato-grossense: Patrimônios Básicos,978-85-7480-754-6,Aziz Ab Sáber,"Geografia, Ecologia, Ilustrado","R$55,00"
Bucólicas,978-85-7480-394-4,"Odorico Mendes, Virgílio","Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução, Odorico Mendes","R$78,00"
"C@rtas Ácidas da Campanha de Lula de 1998, As",85-7480-011-2,Bernardo Kucinski,"Memória, Política","R$38,00"
Cabo Verde - Literatura em Chão de Cultura,978-85-7480-415-6,Simone Caputo Gomes,"Crítica literária, Literatura africana","R$62,00"
"Cadenciando-um-Ning - Um Samba, para o Outro",85-7480-055-4,"Michael Palmer, Régis Bonvicino","Literatura brasileira, Poesia, Literatura estrangeira, Bilíngue","R$35,00"
Caderno de Literatura e Cultura Russa - Dostoiévski,1806-2911,Depto. Letras Orientais USP,"Crítica literária, Literatura estrangeira","R$97,00"
Cadernos 1 e 2,85-86084-09-3,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$30,00"
"Cadernos Anatômicos de Leonardo da Vinci, Os",978-85-7480-625-9,Leonardo da Vinci,"Arte, Ilustração e pintura, Medicina e Anatomia","R$308,00"
Caligramas,978-85-7480-405-7,Guillaume Apollinaire,"Poesia, Literatura estrangeira, Bilíngue","R$66,00"
Caligramas (2a ed.),978-85-7480-795-9,"Álvaro Faleiros, Guillaume Apollinaire","Tradução, Poesia, Literatura estrangeira, Ilustrado, Bilíngue","R$68,00"
Cama de Campanha,85-7480-328-6,Flávio Carvalho Ferraz,"Literatura brasileira, Poesia","R$42,00"
"Caminho do Encontro, A - Uma Leitura de Contos Novos",85-85851-84-8,Ivone Daré Rabello,"Literatura brasileira, Crítica literária","R$53,00"
"Caminhos do Romance em Portugal - Camilo, Eça e o Folhetim Francês",978-85-7480-696-9,Andréa Trench de Castro,"Crítica literária, Literatura portuguesa","R$52,00"
Cancioneiro,978-85-7480-679-2,Francesco Petrarca,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado","R$189,00"
Cantigas do Falso Alfonso el Sabio,85-7480-331-6,Affonso Ávila,"Literatura brasileira, Poesia","R$45,00"
"Capa do Livro Brasileiro, A - 1820-1950",978-85-7480-777-5,Ubiratan Machado,"Livros sobre livros, Ilustrado, Ilustração e pintura, Editoração, Design, Criação, Artes gráficas","R$320,00"
Capas de Santa Rosa,978-85-7480-727-0,Luís Bueno,"Ilustrado, Biografia, Artes gráficas, Arte, Livros sobre livros, Design","R$132,00"
Capítulos da História da Medicina no Brasil,85-7480-212-3,Pedro Nava,"Medicina e Saúde, História","R$52,00"
"Carne, A",978-85-7480-706-5,Júlio Ribeiro,"Literatura brasileira, Romance, Ilustrado","R$37,00"
Cartas a Miranda,978-85-74-80-736-2,Quatremère de Quincy,"Arquitetura, Arte, História, Restauração","R$35,00"
Cartas a William Agel de Mello,85-7480-153-4,"João Guimarães Rosa, William Agel de Mello","Memória, Literatura brasileira","R$39,60"
Cartas aos Amigos Caio Porfírio Carneiro e Fábio Lucas,85-7480-249-2,João Antônio,Memória,"R$32,00"
Cartas de Fidelino de Figueiredo e de Segismundo Spina,978-85-7480-464-4,Nuno Fidelino de Figueiredo,Memória,"R$33,00"
Cartilha - Martelo-Gabinete e Ferrografia,85-7480-130-5,Virgílio Maia,"Literatura brasileira, Poesia, Ilustrado","R$33,00"
Casa de Pensão,978-85-7480-461-3,"Marcelo Bulhões, Aluísio de Azevedo","Literatura brasileira, Romance, Ilustrado","R$43,00"
"Casa dos Seis Tostões, A",978-85-7480-729-4,Paul Collins,Livros sobre livros,"R$67,00"
Casas Importadoras de Santos e seus Agentes,978-85-7480-710-2,Carina Marcondes Ferreira Pedro,"História, Economia, Cultura","R$42,00"
Catecismo da Preservação de Monumentos,978-85-7480-662-4,Max Dvorák,"Arquitetura, Restauração","R$41,00"
Céus Derretidos,85-85851-12-0,"Teixeira Coelho, Jean-Claude Bernardet","Literatura brasileira, Romance","R$41,00"
"Cem Menores Contos Brasileiros do Século, Os",97885-7480-686-0,Marcelino Freire,"Literatura brasileira, Contos","R$35,00"
"Cem Menores Contos Brasileiros do Século, Os (5a. ed.)",978-85-7480-799-7,Marcelino Freire,"Contos, Humor, Literatura brasileira","R$48,00"
Cena Absurdo,978-85-7480-734-8,Pedro Marques,"Literatura, Poesia","R$67,00"
Cena Macaca,978-85-7480-350-0,Zé Pedro,"Arte, Ilustração e pintura, Humor","R$65,00"
"Cena Muda, A",85-7480-017-1,Miguel Angel Fernandez,"Literatura brasileira, Romance","R$46,00"
"Cenas da Infância - Kartolas, Kalungas e Katiras",978-85-7480-762-1,Jonas Rosa,Poesia,"R$39,00"
Cenas em Jogo,978-85-7480-805-5,Renato Tardivo,"Cinema, Crítica literária, Teoria literária, Psicanálise e Psicologia","R$33,00"
Cera das Almas,85-7480-247-6,Pedro Nava,"Memória, Literatura brasileira","R$39,00"
Choro de Homem,85-7480-058-9,Marcos Rodrigues,"Literatura brasileira, Contos, Ilustrado","R$39,00"
Cicatriz,978-85-7480-746-1,Eduardo Guimarães,"Literatura, Poesia","R$65,00"
Ciclo das Chamas,85-7480-292-1,Antônio Lázaro de Almeida Prado,"Literatura brasileira, Poesia","R$39,00"
Cidade de Atys,85-85851-60-0,Marcelo Novaes,"Literatura brasileira, Romance","R$29,00"
"Cidade e as Serras, A",978-85-7480-380-7,"Paulo Franchetti, Leila Guenther, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$38,00"
Cidadela Ardente,85-85851-48-1,Thelma Guedes,"Ilustrado, Literatura brasileira, Contos","R$40,00"
Cinematografia,978-85-7480-808-6,Paulo Lopes Lourenço,"Ilustrado, Poesia","R$44,90"
Cirandas,978-85-7480-758-4,Bruno Palma,"Ilustrado, Poesia, Infantil","R$60,00"
Clarice Lispector - Uma Poética do Olhar,85-85851-85-6,Regina Pontieri,"Literatura brasileira, Crítica literária","R$49,00"
Clepsidra,978-85-7480-462-0,"Paulo Franchetti, Camilo Pessanha","Poesia, Literatura portuguesa, Ilustrado","R$33,00"
Clichês Brasileiros,978-85-7480-643-3,Gustavo Piqueira,"Ilustrado, Design, Livros sobre livros, Ilustração e pintura, Tipografia, Artes gráficas","R$69,00"
Clusters,978-85-7480-522-1,Pedro Marques,"Literatura brasileira, Poesia","R$33,00"
Cocanha - Várias Faces de uma Utopia,85-85851-32-5,Hilário Franco Jr.,"Literatura medieval, Mitologia, História, Sociologia e Sociedade, Ilustrado, Cultura medieval","R$29,60"
Coisas do Diabo Contra,978-85-7480-645-7,Eromar Bomfim,"Ilustrado, Literatura brasileira, Romance","R$44,00"
"Comédia e Seus Duplos, A: O Anfitrião de Plauto",978-85-7480-763-8,Rodrigo Tadeu Gonçalves,"Crítica literária, Literatura clássica, Teatro","R$69,90"
Comentário Literal sobre os Três Primeiros Capítulos do Gênesis,85-7480-102-X,Giovanni Jacopo Casanova,"Romance, Literatura estrangeira","R$32,00"
Comunicados Lacônicos,978-85-7480-402-6,Antonio Lizárraga,"Literatura brasileira, Poesia","R$42,00"
Concerto Amazônico,978-85-7480-348-7,Álvaro Cardoso Gomes,"Literatura brasileira, Romance","R$48,00"
Condillac Lúcido e Translúcido,978-85-7480-551-1,Leon Kossovitch,Filosofia,"R$56,00"
Contos da Nova Cartilha - Primeiro Livro de Leitura,978-85-7480-823-9,Liev Tolstói,"Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução","R$53,00"
Contos da Nova Cartilha - Segundo Livro de Leitura - Vol. 1,978-85-7480-576-4,Liev Tolstói,"Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução","R$58,00"
Contos do Divã,978-85-7480-373-9,Sylvia Loeb,"Literatura brasileira, Contos, Psicanálise e Psicologia","R$42,00"
Contracomunicação,85-7480-207-7,Décio Pignatari,"Comunicação, Semiótica, Ilustrado","R$44,00"
"Conversações Noturnas & Outros Poemas, As",978-85-7480-363-0,José Laurenio de Melo,"Literatura brasileira, Poesia","R$40,00"
Coração sem Alma,978-85-7480-465-1,Xavier de Monte Pinho,"Memória, Literatura brasileira, Romance","R$20,00"
"Coração, Cabeça e Estômago",978-85-7480-793-5,Camilo Castelo Branco,"Ilustrado, Literatura portuguesa","R$38,00"
"Coreografia do Desejo, A - Cem Anos de Ficção Brasileira",85-7480-033-3,Maria Angélica G. Lopes,"Literatura brasileira, Crítica literária","R$45,00"
Cores de Rosa,978-85-7480-527-6,Adélia Bezerra de Meneses,"Ilustrado, Literatura brasileira, Crítica literária, Semiótica, Psicanálise e Psicologia","R$60,00"
Corredores para Abutres,85-7480-175-5,Regina Silveira,"Arte, Ilustração e pintura","R$31,00"
Corrupção (18 Contos),85-7480-141-0,Rodrigo Penteado,"Literatura brasileira, Contos","R$44,00"
"Cortiço, O",978-85-7480-579-5,"Paulo Franchetti, Leila Guenther, Aluísio de Azevedo","Literatura brasileira, Romance, Ilustrado","R$38,00"
Cozinheiro Nacional: Melhores Receitas Brasileiras e Europeias,978-85-7480-231-2,Anônimo,"Gastronomia, Culinária, História, Ilustrado","R$98,00"
Crítica Dialética em Theodor Adorno,978-85-7480-352-4,Jorge de Almeida,"Música, Filosofia, Estética, Crítica musical","R$48,00"
Crítica e Criação - Um Estudo da Kreisleriana Op. 16 de Robert Schumann,978-85-7480-354-8,Mónica Vermes,"Música, Crítica musical","R$53,00"
"Crítica Literária Brasileira em Perspectiva, A",978-85-7480-660-0,"Rogério Cordeiro, Andréa Sirihal Werkema, Claudia Campos Soares, Sérgio Alcides Pereira do Amaral","Literatura brasileira, Crítica literária, História","R$58,00"
Criação e Conflito,978-85-7480-499-6,Celeste Ribeiro de Sousa,"Crítica literária, Literatura estrangeira","R$48,00"
Crônicas da Vida Boêmia,85-85851-66-X,Aluízio Falcão,"Literatura brasileira, Crônicas","R$48,00"
Crônicas Efêmeras,85-86084-14-X,João do Rio,"Memória, Literatura brasileira, Crônicas","R$45,00"
Cultura das Bordas - Edição. Comunicação. Leitura,978-85-7480-510-8,Jerusa Pires Ferreira,"Comunicação, Semiótica, Sociologia e Sociedade, Cultura","R$40,00"
"Cultura Literária Medieval, A",978-85-7480-340-1,Segismundo Spina,"Idade média, Crítica literária, Literatura medieval, Cultura medieval","R$35,00"
Da Argila à Nuvem,978-85-7480-831-4,Yann Sordet,"Bibliofilia, Livros sobre livros, História, Artes gráficas","R$44,00"
"Dança de Shiva, A",978-85-7480-503-0,Ricardo Pires de Souza,"Literatura brasileira, Poesia","R$27,00"
Dante - O Poeta do Absoluto,85-7480-009-0,Hilário Franco Jr.,Biografia,"R$28,00"
Daquela Estrela à Outra,85-7480-158-5,"Giuseppe Ungaretti, Lúcia Wataghin, Haroldo de Campos","Tradução, Poesia, Literatura estrangeira, Bilíngue","R$83,00"
De Olho na Morte e Antes,978-85-7480-594-8,Fernando Fortes,"Literatura brasileira, Poesia","R$88,00"
De Orfeu e de Perséfone - Morte e Literatura,978-85-7480-396-8,Lélia Parreira Duarte,"Crítica literária, Literatura","R$55,00"
De Voos e Ilhas - Literatura e Comunitarismos,85-7480-168-2,Benjamin Abdala Jr.,"Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana","R$56,00"
Debaixo do Sol,978-85-7480-524-5,Eunice Arruda,"Literatura brasileira, Poesia","R$40,00"
"Descoberta do Frio, A",978-85-7480-708-9,Oswaldo de Camargo,"Literatura brasileira, Romance","R$38,00"
Desconhecer,978-85-7480-724-9,Ricardo Lima,"Literatura brasileira, Poesia, Ilustrado","R$44,00"
Desenho Mágico - Poesia e Política em Chico Buarque,85-7480-001-5,Adélia Bezerra de Meneses,"Música, Poesia, Política, Ilustrado","R$65,00"
"Design como Ele É, O",978-85-7480-338-8,"Chico Homem de Melo, Eliana Tróia","Livros sobre livros, Design, Tipografia, Artes gráficas, Ilustrado","R$28,00"
"Design da Escrita, O - Redigindo com Criatividade e Beleza, Inclusive Ficção",978-85-7480-387-6,Antônio Suárez Abreu,"Design, Comunicação, Literatura, Criação, Escrita","R$45,00"
"Design do Livro, O",85-7480-100-3,Richard Hendel,"Design, Tipografia, Editoração, Livros sobre livros, Artes gráficas, Ilustrado","R$98,00"
Deste Lugar,978-85-7480-595-5,Paulo Franchetti,"Literatura brasileira, Poesia","R$39,00"
"Deuses Chutam Lata na Consolação, Os",85-85851-21-X,Gilson Rampazzo,"Literatura brasileira, Romance","R$38,00"
Devagar,85-7480-318-9,Diva Gomes,"Literatura brasileira, Poesia","R$29,50"
Dez Mitos sobre os Judeus,978-85-7480-693-8,Maria Luiza Tucci Carneiro,"Mitologia, História, Judaísmo, Ilustrado","R$50,00"
Dez Mitos sobre os Judeus - 2a. ed.,978-85-7480-843-7,Maria Luiza Tucci Carneiro,"História, Ilustrado, Judaísmo, Mitologia","R$50,00"
Diana Caçadora & Tango Fantasma,85-7480-209-3,Márcia Denser,"Literatura brasileira, Contos","R$45,00"
Dias Melhores... Pra Sempre!,85-7480-314-6,"Cyro Leão, Luiz Chinan, Jadyr Pavão Jr.","Poesia, Literatura portuguesa, Ilustrado","R$33,00"
Dicionário Brasileiro de Insultos,85-7480-078-3,Altair J. Aranha,"Humor, Dicionário","R$47,00"
"Diálogos Literários - Literatura, Comparativismo e Ensino",978-85-7480-416-3,Agnaldo Rodrigues da Silva,"Crítica literária, Literatura","R$54,00"
Diálogos sobre a Tecnologia do Cinema Brasileiro,978-85-7480-360-9,Paulo B. C. Schettino,"Memória, Cinema, Entrevistas","R$61,00"
"Diderot - O Espírito das ""Luzes""",85-7480-030-9,Jacó Guinsburg,Biografia,"R$28,00"
Dissipatio H.G. - O Fim do Gênero Humano,85-7480-049-X,Guido Morselli,"Tradução, Romance, Literatura estrangeira","R$45,00"
Distopia,978-85-7480-506-1,Hélio Franchini Neto,"Literatura brasileira, Romance","R$38,00"
Divina Comédia,978-85-7480-531-3,"Dante Alighieri, João Trentino Ziller","Arte, Ilustração e pintura, Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução","R$280,00"
Do Formalismo Estético Trovadoresco,978-85-7480-442-2,Segismundo Spina,"Idade média, Crítica literária, Literatura medieval, Estética, Cultura medieval","R$49,50"
Do Modernismo à Bossa Nova,978-85-7480-449-1,Jomard Muniz de Britto,"Arte, Música, Cinema, Cultura","R$30,00"
Do Socialismo Soviético ao Capitalismo Russo,978-85-7480-794-2,Lenina Pomeranz,"História, Política","R$63,00"
Dom Casmurro,978-85-7480-399-9,"Leila Guenther, Paulo Franchetti, Machado de Assis","Literatura brasileira, Romance, Ilustrado","R$41,00"
"Domínios de Natureza no Brasil, Os - Potencialidades Paisagísticas",978-85-7480-596-2,Aziz Ab Sáber,"Geografia, Ecologia, Ilustrado","R$52,00"
Drummond - Da Rosa do Povo à Rosa das Trevas,85-7480-050-3,Vagner Camilo,"Literatura brasileira, Crítica literária","R$75,00"
Duplo Canto e Outros Poemas,978-85-7480-547-4,François Cheng,"Poesia, Literatura estrangeira, Bilíngue, Tradução","R$92,00"
E Fizerom Taes Maravilhas... - Histórias de Cavaleiros e Cavalarias,978-85-7480-629-7,Lênia Márcia Mongelli,"Crítica literária, Literatura medieval, História, Idade média, Cultura medieval","R$85,00"
Eça de Queirós / Julio Pomar,85-85851-08-2,"Eça de Queirós, Julio Pomar","Literatura portuguesa, Crônicas, Ilustrado","R$19,00"
"Economia da Cultura, A",978-85-7480-337-1,Françoise Benhamou,"Tradução, Economia, Cultura","R$45,00"
Edgar Allan Poe - Um Homem em sua Sombra,85-7480-072-4,Ricardo Araújo,"Crítica literária, Literatura estrangeira, Biografia","R$43,00"
Edição e Revolução: Leituras Comunistas no Brasil e na França,978-85-7480-661-7,"Marisa Midori Deaecto, Jean-Yves Mollier","História, Livros sobre livros, Ilustrado","R$78,00"
Edifícios Comerciais - Felipe Bezerra,85-7480-272-7,Fernando Serapião,"Arquitetura, Ilustrado","R$25,00"
Edifícios Escolares - Miguel Juliano,85-7480-145-3,Cristiane Corrêa,"Arquitetura, Ilustrado","R$23,00"
Educação & Psicologia - Cinquenta Anos de Profissão,85-7480-250-6,Geraldina Porto Witter,"Memória, Ilustrado","R$64,00"
Educação Sentimental em Proust,85-7480-128-3,Philippe Willemart,Crítica literária,"R$48,00"
Edusp: Um Projeto Editorial,85-7480-089-9,"Marcello Rollemberg, Plinio Martins Filho","Editoração, Ilustrado","R$99,80"
Égloga da Maçã,978-85-7480-577-1,Affonso Ávila,"Literatura brasileira, Poesia, Ilustrado","R$48,00"
Eis o Mundo de Fora,978-85-7480-565-8,Adrienne Myrtes,"Literatura brasileira, Romance","R$39,00"
Electra de Eurípides,978-85-7480-712-6,"Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides","Tradução, Teatro, Bilíngue, Cultura grega, Literatura clássica","R$45,00"
Electra(s),978-85-7480-779-9,Trajano Vieira,"Cultura grega, Teatro, Literatura clássica, Ilustrado","R$39,60"
Elementos de Semiótica Tensiva,978-85-7480-572-6,"Ivã Carlos Lopes, Luiz Tatit, Claude Zilberberg","Comunicação, Semiótica, Linguística","R$52,00"
Elos de Melodia e Letra - Análise Semiótica de Seis Canções,978-85-7480-403-3,"Luiz Tatit, Ivã Carlos Lopes","Música, Semiótica","R$48,00"
Em Louvor de Anti-Heróis,85-7480-062-7,Victor Brombert,"Crítica literária, Literatura","R$56,00"
Em Nome do Corpo,85-7480-295-6,Iacopo Pontormo,"Arte, Memória, Bilíngue, Ilustrado, Tradução","R$57,00"
Encontros e Des-encontros,85-7480-291-3,Maria Teresa Hellmeister Fornaciari,"Literatura brasileira, Crônicas","R$27,00"
Encrenca,85-7480-135-6,Manoel Carlos Karam,"Literatura brasileira, Romance","R$34,00"
Eneida,85-7480-104-6,"Odorico Mendes, Virgílio","Poesia, Literatura estrangeira, Mitologia, Literatura clássica, Ilustrado, Odorico Mendes","R$86,00"
Ensaiando a Canção - Paulinho da Viola e Outros Escritos,978-85-7480-537-5,Eliete Eça Negreiros,"Música, Crítica musical","R$40,00"
Ensino de Ciências e Matemática - Formação e Atuação de Professores,978-85-7480-546-7,"Geraldina Porto Witter, Moacir Wuo",Educação e Pedagogia,"R$36,00"
Entreato Amoroso,978-85-7480-378-4,Aercio Consolin,"Literatura brasileira, Romance","R$49,50"
Entreatos,978-85-7480-822-2,"Marcelo Castel Cid, Gustavo Piqueira","Romance, Religião, Literatura brasileira","R$32,00"
Entrelivros,85-85851-71-6,João Alexandre Barbosa,"Crítica literária, Literatura","R$42,00"
Entretanto n° 1 - Revista de Literatura,1980-8909,"Marcelino Freire, Delmo Montenegro, Fabiano Calixto, Micheliny Verunschk, Raimundo Carrero","Crítica literária, Poesia, Contos, Crônicas, Literatura, Ilustrado","R$25,00"
Entrevistas de Domingo,978-85-7480-369-2,O Diário de Mogi,"Memória, Jornalismo","R$150,00"
Epigramas,978-85-7480-752-2,"Marco Valério Marcial, Rodrigo Garcia Lopes","Poesia, Tradução, Literatura clássica, Humor, Bilíngue","R$82,00"
Epigramas 2. ed.,978-85-7480-840-6,"Marco Valério Marcial, Rodrigo Garcia Lopes, Gustavo Piqueira","Bilíngue, Humor, Literatura clássica, Poesia, Tradução","R$45,00"
Era no Tempo do Rei - Atualidade das Memórias de um Sargento de Milícias,978-85-7480-748-5,Edu Teruki Otsuka,"Crítica literária, Literatura, Teoria literária","R$53,00"
